time,flux
169.7649434436462,556834.4375
169.78537751804106,556829.75
169.80581139220158,556864.5625
169.8262454661235,556828.5625
169.84667933981837,556871.875
169.86711341351474,556863.1875
169.8875472869695,556821.875
169.90798126019945,556863.875
169.92841533343017,556899.0
169.94884920618642,556858.9375
169.96928317918355,556831.8125
169.98971725171577,556840.5
170.01015122423996,556784.5625
170.03058509653783,556799.375
170.05101906860364,556850.6875
170.07145304066216,556729.8125
170.09188701249514,556770.5
170.11232098409528,556790.875
170.13275505545607,556805.0625
170.15318902682338,556835.375
170.17362294795385,557048.7092957047
170.1940568690843,556803.75
170.21449083975313,556863.0625
170.23492481042194,556834.0625
170.2553587810835,556853.0625
170.2757928512874,556818.25
170.2962267214898,556850.5
170.31666069145285,556881.4375
170.33709466142318,556873.0
170.35752863092785,556852.8125
170.37796260042523,556812.8125
170.3983965699299,556824.625
170.41883063896967,556812.6875
170.43926450800063,556836.875
170.4596984768068,556898.5
170.48013234561222,556904.6875
170.50056641394622,556872.3125
170.52100038228673,556853.6875
170.54143425062648,556837.875
170.56186831849482,556866.875
170.58230228636967,556888.9375
170.6027362540117,556874.9375
170.62317012164567,556923.75
170.6436041888228,556916.0
170.66403815599915,556883.75
170.68447202316747,556921.6875
170.70490608987893,556879.4375
170.72534005658963,556885.125
170.7457739232923,556832.125
170.7662079895381,556869.875
170.78664195578313,556891.3125
170.8070758217873,556861.6875
170.82750978756667,556886.1875
170.8479438533468,556884.875
170.8683777188853,556868.375
170.88881168419903,556856.1875
170.90924574928067,556762.6875
170.92967971435428,556754.0
170.95011357920157,556762.9375
170.9705475438168,556863.3125
170.9909816084255,556891.6875
171.01141547280713,556903.875
171.0318494369567,556909.0625
171.05228350109974,556930.75
171.07271736478287,556881.125
171.09315132846677,556907.8125
171.1135852921434,556887.8125
171.13401925536164,556873.875
171.15445321857987,556918.8125
171.174887181558,556928.1875
171.1953211445434,556902.875
171.21575510706316,556913.625
171.23618906980846,556902.375
171.25662293209461,556940.4375
171.27705699414946,556912.0625
171.29749095619627,556935.1875
171.31792481801676,556911.5
171.33835887983878,556927.75
171.3587928411871,556889.75
171.3792268025427,556922.8125
171.39966066389752,556962.375
171.42009472478094,556945.1875
171.44052868567087,556906.875
171.4609625463272,556938.9375
171.4813966069778,556953.6875
171.50183056716924,556898.625
171.52226442735991,556906.6875
171.54269838755135,556891.375
171.56313244727062,556946.875
171.58356630699564,556913.8125
171.6040002664813,556935.0
171.6244343257422,556924.375
171.64486818500154,556941.5
171.66530214402883,556945.0
171.685736102816,556950.5625
171.7061701613784,556924.8125
171.72660401993198,556936.8125
171.74703797826078,556882.875
171.76747203659033,556808.375
171.7879058944527,556791.5625
171.80833985230856,556915.5625
171.8287737099381,556951.0625
171.8492077675619,556943.9375
171.86964172472653,556946.6875
171.89007568189118,556918.3125
171.910509638823,556929.125
171.93094359574752,556947.9375
171.9513775524465,556959.25
171.9718114089119,556920.625
171.9922454651387,556946.6875
172.012679421372,557007.1875
172.03311327737174,556968.0
172.05354733313288,556976.9375
172.0739812886677,556951.0
172.0944151441945,556958.75
172.1148490994965,556977.5625
172.13528315456642,556968.0
172.1557171096283,556986.375
172.1761509644639,556944.8125
172.19658501906815,556944.0625
172.21701897343155,556927.75
172.23745282780146,556937.0
172.2578867819393,556926.625
172.2783208358378,556975.75
172.29875468974205,556932.0625
172.3191886431814,556910.4375
172.33962269661424,556965.3125
172.36005655005283,556894.0625
172.38049050302652,556943.9375
172.4009244560002,556921.4375
172.4213584087338,556847.4375
172.44179236147465,556917.75
172.46222631374258,556955.4375
172.48266036601854,556969.8125
172.50309421806014,556918.5
172.5235281701025,556938.9375
172.543962021904,556945.5625
172.56439607348148,556927.0
172.58483002481807,556831.125
172.6052638761612,556816.3125
172.62569792704016,556841.9375
172.6461318781512,556917.5625
172.66656582878932,556951.1875
172.68699967943394,556918.6875
172.70743372983998,556984.6875
172.7278676800197,556931.8125
172.74830152996583,556927.875
172.76873557991348,556949.875
172.78916952962027,556966.6875
172.80960337910074,556910.1875
172.83003732858197,556932.1875
172.85047137782385,556937.625
172.87090522683866,556917.625
172.8913391756214,556959.0625
172.91177322439762,556953.5
172.93220707294677,556979.375
172.95264102126384,556983.6875
172.97307496934081,557006.0625
172.99350901742582,556977.125
173.01394286527648,556973.5
173.03437681288779,556931.25
173.05481086050713,557010.3125
173.0752447076593,556957.875
173.09567865480494,556953.375
173.11611260195787,556969.1875
173.13654654864513,557031.5
173.15698049521234,557041.577385139
173.17741444177955,556976.75
173.19784838823398,556969.625
173.21828233421547,556976.875
173.23871628020424,556991.9375
173.25915012595942,557022.3125
173.27958417170885,556983.9375
173.30001811723196,557040.625
173.32045196228864,556972.5625
173.3408860075724,556990.125
173.36131995239703,557012.6875
173.38175379722088,556907.4375
173.4021877418054,556986.375
173.4226217861651,556856.875
173.4430556305233,556866.875
173.46348957464215,556920.4375
173.4839236185362,557006.75
173.50435756219667,556925.6875
173.5247914058491,556968.0
173.54522534927673,557012.25
173.5656593924723,557023.1875
173.58609323542623,556982.875
173.6065271783882,556966.375
173.6269612211181,556989.8125
173.64739506360638,557023.0625
173.6678290061027,556998.75
173.68826294813334,557028.5625
173.70869689015672,556953.9375
173.72913083218737,557023.5
173.74956477375235,556955.25
173.76999881531083,556988.9375
173.79043265664222,557004.625
173.81086659774155,557011.1875
173.83130043883284,556985.3125
173.8517344797001,557003.4375
173.87216842033376,557036.75
173.89260226072656,557025.75
173.91303630112816,557034.375
173.93347024129616,557012.5625
173.95390418122406,557032.875
173.97433802092564,556986.0
173.99477206062875,557008.5
174.01520600009098,557010.5625
174.0356398393269,556997.6875
174.05607387833152,557008.1875
174.0765078173281,557008.5625
174.09694165609835,557077.9375
174.11737559463654,557026.0
174.13780963316822,557063.5625
174.15824347123998,557008.25
174.1786774093125,557050.9375
174.19911144737853,557057.1875
174.2195453849854,557070.75
174.2399792225915,557008.1875
174.26041315995826,556906.0625
174.28084719710023,556926.1875
174.30128103424067,556909.0625
174.32171497114177,556995.6875
174.34214900781808,556984.4375
174.36258284426003,557044.0625
174.38301678069547,557025.125
174.40345071667252,557007.8125
174.4238846528824,556977.0625
174.44431858861935,556992.5
174.46475252413074,557046.625
174.48518645964214,557031.5
174.50562049491418,556991.9375
174.52605433019198,556983.5625
174.54648826500488,557038.25
174.5669221998105,557038.0
174.5873561346234,557000.25
174.60779006897064,557020.9375
174.6282240033106,557034.5625
174.648657937425,557027.625
174.6690918713066,556999.75
174.68952580494806,556943.0
174.7099597385968,557025.0625
174.73039367201272,556979.9375
174.75082760518853,557026.1875
174.7712615381388,557016.4375
174.79169547108904,557021.4375
174.8121294037992,557055.875
174.83256323628302,557062.9375
174.85299726876838,557026.125
174.87343120078003,557028.625
174.8938650327982,557002.0625
174.9142990648179,557021.3125
174.9347329963639,557033.75
174.95516692791716,557045.3125
174.97560075923684,557048.8125
174.99603479031794,557033.0
175.0164687211727,557044.3125
175.03690255202673,557072.25
175.05733658264217,557010.8125
175.07777051303128,556985.125
175.09820434341964,556974.0625
175.11863832345625,556959.6850354176
175.13907230349287,556940.1875
175.15950613318273,556999.25
175.17994006263325,557017.9375
175.2003740920918,557031.9375
175.220807921316,557025.875
175.24124185030814,557028.0
175.261675779293,557056.0
175.28210980805306,557033.125
175.3025436365715,557070.8125
175.32297756486514,557059.3125
175.3434115929267,557083.4375
175.3638454209795,557045.6875
175.38427934880747,557068.5625
175.40471317640186,557046.75
175.4251472039905,557056.5625
175.4455811313528,557093.5
175.4660150584823,557072.0625
175.48644898537168,557062.875
175.5068829120355,557070.6875
175.52731683869933,557008.875
175.5477506651223,557029.5625
175.56818469132122,557097.1875
175.5886186175194,557034.5
175.60905244348396,557058.25
175.62948646920995,557062.75
175.64992039470962,557104.4375
175.67035421996843,557080.75
175.69078814523527,557077.1875
175.71122217027005,557101.75
175.73165609506395,557064.6875
175.75208991986437,557026.0625
175.7725239444335,557055.625
175.79295786876173,557028.1875
175.81339169286366,557032.1875
175.83382561673352,557073.3125
175.85425964059687,557079.5
175.87469346423313,557077.5
175.89512738763733,557094.125
175.91556141103501,557055.6875
175.9359952339728,557041.75
175.95642915691133,556995.6875
175.97686307961703,556947.125
175.99729700231546,556998.75
176.0177309245555,557068.375
176.03816484678828,557072.4375
176.05859886902908,557019.1875
176.0790326908027,557056.0625
176.0994666125771,557032.0625
176.1199004341106,557055.8125
176.14033440529965,557104.0857676109
176.1607683764887,557053.0625
176.18120219756383,557097.375
176.20163621840766,557087.625
176.2220701390179,557087.0
176.242504059388,557035.0
176.26293787976465,557093.0625
176.2833718999027,557045.125
176.30380581981444,557076.3125
176.3242396394926,557059.75
176.34467365917226,557061.125
176.36510757837823,557085.625
176.3855413975907,557072.25
176.40597531680396,557072.0625
176.42640933554503,557061.0625
176.44684315429186,557074.1875
176.4672770728066,557051.75
176.48771109108202,557019.9375
176.50814490936318,557077.125
176.52857882741228,557084.9375
176.54901274522126,557110.25
176.56944676280546,557091.25
176.5898805801553,557113.0625
176.61031449749862,557060.6875
176.63074851461715,557063.6875
176.65118233150133,557090.8125
176.671616248379,557069.75
176.69205016479827,557041.875
176.71248408121755,557084.9375
176.73291799739673,557101.9375
176.75335191358317,557082.625
176.7737858295368,557031.3125
176.79421974501747,556965.3125
176.81465366050543,556974.5
176.83508747599262,556994.6875
176.8555214910084,557070.875
176.8759554060307,557108.5
176.8963892208194,557059.0625
176.91682323560235,557086.0625
176.93725714992615,557083.125
176.9576909642492,557096.375
176.9781248783329,557092.75
176.9985588921918,557140.1875
177.01899270604918,557076.25
177.0394266196672,557059.8125
177.05986063306045,557053.4375
177.0802945462201,557036.0625
177.10072835913888,557097.75
177.1211622720657,557058.5625
177.14159628475318,557045.625
177.16203009721357,557094.625
177.1824640094419,557029.9375
177.202898021671,557105.9375
177.22333183365845,557049.625
177.24376574542111,557053.125
177.26419965695095,557078.5625
177.2846335684735,557050.9375
177.3050674797705,557009.125
177.3255013908347,557074.75
177.34593540165952,557086.5
177.3663692124901,557081.625
177.38680312285578,557088.8125
177.40723693321343,557067.9375
177.42767094357987,557116.6875
177.4481048534799,557088.625
177.46853866337187,557091.125
177.48897267303983,557049.9375
177.50940658247418,557105.625
177.52984049166844,557119.625
177.5502743008692,557083.1875
177.57070830983866,557100.5
177.59114221856726,557045.8125
177.61157602706953,556954.0625
177.63201003557333,557039.375
177.65244394383626,556925.3125
177.67287775187287,557075.5625
177.69331165967742,557049.375
177.71374566724262,557034.75
177.73417947481357,557042.625
177.75461338215246,557047.6875
177.775047389252,557061.875
177.79548129635805,557104.0
177.81591510299768,557097.9375
177.8363490096308,557129.9375
177.85678301603912,557078.125
177.87721682244592,557069.625
177.89765072838054,557034.0625
177.9180847343232,557094.9375
177.9385185400315,557043.0
177.9589524457333,557048.6875
177.9793863509767,557034.5
177.99982025622012,557119.375
178.02025416122342,557066.75
178.04068806600117,557039.0
178.06112197054608,557071.8125
178.08155587508372,557041.1875
178.1019897793958,557045.875
178.1224235834743,557068.625
178.1428575873142,557049.8125
178.16329149116063,557035.5625
178.18372529477347,557061.5625
178.20415929814772,557080.8125
178.22459320129565,557062.25
178.24502700444282,557094.4375
178.2654609071178,557029.6875
178.28589490980085,557058.5
178.30632881248312,557062.375
178.32676261469896,556997.25
178.34719661690906,556989.1875
178.36763051889284,556997.125
178.38806432063575,556981.5
178.40849822215387,557041.4375
178.42893222367275,556999.0625
178.44936602472444,556960.125
178.46979992576962,556899.4375
178.49023392682284,556856.5625
178.5106677274016,556948.1875
178.5311016279884,556955.875
178.55153552834236,557012.4375
178.5719694284562,557024.625
178.59240332834452,557057.4375
178.61283722823282,556969.0625
178.63327122788178,556994.375
178.65370502730366,556981.875
178.67413892649347,557026.5
178.69457282544317,557003.75
178.71500672440015,556989.9375
178.7354406231243,557027.9375
178.75587452160835,557023.4375
178.77630842009967,557010.875
178.79674231812533,557000.8125
178.8171762161437,556956.375
178.83761011393653,556985.875
178.85804401172936,556937.6875
178.87847790904925,556972.6875
178.89891170637566,556938.6875
178.91934570347075,557008.375
178.93977960032498,556993.75
178.9602134971865,556986.1875
178.98064729358157,556958.625
179.0010812899709,556909.3125
179.0215151861339,556950.4375
179.04194898229616,556921.375
179.062382977987,556943.5
179.08281687368435,556921.5625
179.10325071902844,556847.1794153318
179.12368456437252,556945.0
179.14411855937215,556936.5625
179.164552454371,556907.25
179.18498624913627,556983.75
179.20542024366296,556948.0
179.22585413796332,556952.4375
179.24628793225565,556938.0
179.2667218263232,556943.3125
179.28715582015866,556875.8125
179.30758961375977,556877.4375
179.32802350712154,556863.8125
179.3484574004906,556838.5625
179.3688913936203,556962.0625
179.38932523640688,556957.2448570486
179.40975907919346,556975.6875
179.4301930718575,556946.0625
179.45062686429446,556959.25
179.47106075649936,556975.125
179.4914947484649,556988.1875
179.51192854020337,556962.25
179.5323624319426,556937.875
179.552796323449,556987.625
179.5732302147153,556980.3125
179.59366410575603,556987.8125
179.6140979967895,556964.75
179.63453198736534,556986.75
179.65496577793965,557003.5625
179.67539966851473,556966.25
179.6958334586161,556983.9375
179.71626744872628,556978.75
179.73670133836276,557020.3125
179.7571351282386,556988.125
179.77756911765027,556976.0
179.79800300682837,557039.375
179.81843689599918,556968.25
179.83887068494369,556994.1875
179.8593046736496,556982.9375
179.8797385621292,556999.375
179.90017235060805,557005.25
179.92060633885558,556952.125
179.94104022686224,556966.625
179.9614740146426,556972.8125
179.9819079024237,556945.0625
180.00234188973263,556939.5625
180.02277567704732,556967.375
180.04320956412994,556971.875
180.0636435509732,556981.8125
180.08407733782224,556987.25
180.1045112244392,556978.5625
180.12494511081604,556905.4375
180.1453790969681,556881.875
180.1658128828858,556922.25
180.186246768797,556955.25
180.2066807544834,556981.875
180.22711453993543,556991.1875
180.24754842514812,556983.125
180.2679823103681,556955.8125
180.2884161951224,557023.3125
180.30885007986944,557028.8125
180.32928396439092,557040.125
180.34971784890513,557001.3125
180.37015173296095,556960.1875
180.39058561701677,556973.75
180.411019400839,556964.75
180.43145338442264,556952.75
180.4518872680128,557041.1875
180.47232105113653,556969.125
180.49275503425451,556989.6875
180.51318891714618,556966.8125
180.53362270003709,557018.75
180.55405658245581,556934.625
180.57449056488258,556969.5
180.594924347075,556958.0
180.61535822902806,556928.0
180.63579221075634,556929.4375
180.65622609248385,556945.3125
180.67665987373766,556951.5625
180.6970937549995,556973.25
180.71752773625485,557023.25
180.73796151705028,556958.3125
180.75839539784647,557006.9375
180.77882937817776,556943.3125
180.79926315850025,556947.4375
180.81969703883078,556962.3125
180.84013091869565,556936.1875
180.86056479855324,556965.625
180.88099867818528,556971.0
180.90143255758449,556959.4375
180.92186653674435,556967.75
180.94230031567713,556912.375
180.96273419461068,556868.0625
180.98316797330335,556808.5625
181.003601951772,556863.1875
181.02403583023988,556889.0
181.04446960823407,556939.1875
181.06490358623705,556941.0625
181.08533746400644,556974.5
181.10577134153573,556950.625
181.1262051188387,556967.8125
181.1466390961432,556870.375
181.1670729732068,556984.125
181.18750675004412,556954.5625
181.20794062664936,556949.8125
181.22837460301525,556955.3125
181.2488083793869,556979.0
181.26924225552648,556949.25
181.2896762314267,556941.5625
181.31011000709987,556961.0
181.33054388277378,556975.5625
181.35097775797476,556949.625
181.37141173318378,556899.875
181.39184550815844,556944.5
181.4122793831266,556930.5625
181.4327133576371,556958.3125
181.4531471321461,556928.5
181.47358100641577,556928.5
181.4940147804591,556929.3125
181.51444875427114,556905.625
181.5348826115544,557028.837462484
181.55531646883765,556907.5633918942
181.57575032612093,556888.0986259509
181.59618418340418,556897.6504579668
181.61661804068746,556992.6945079308
181.6370518979707,556950.8806199062
181.65748575525396,556977.8943849003
181.6779196125372,556876.6088687145
181.69835346982046,556692.1750978553
181.71878732710374,556905.343955725
181.73922118438702,557074.3028940319
181.75965504167027,557016.9683770663
181.78008889895352,556880.3827316973
181.80052275623677,556823.2473788635
181.82095661352002,556987.4499775482
181.84139047080328,556835.5195829172
181.86182432808656,556999.116926258
181.88225818536984,556887.2751755331
181.9026920426531,556964.887541717
181.92312589993634,556925.645001516
181.9435597572196,556839.3674136313
181.96399361450284,557107.7790283329
181.98442747178612,556923.7602030616
182.00486132906937,556842.9757286129
182.02529518635265,556968.0932869291
182.0457290436359,556913.7773189333
182.06616290091915,556817.9676958565
182.0865967582024,556812.8788385905
182.10703061548566,556897.2877728676
182.12746447276893,556925.9687879903
182.1478983300522,556979.2231015415
182.16833218733547,557106.024051577
182.18876604461872,556899.6776941683
182.20919990190197,556981.5982915218
182.22963375918522,556902.111261495
182.25006761646847,556800.3697402622
182.27050147375175,556902.4638641262
182.29093533103503,557027.0339256431
182.31136918831828,557037.1365192288
182.33180304560153,556783.775710903
182.35223690288478,557038.315769349
182.37267076016803,557000.959872165
182.39310461745129,556836.3603264821
182.41353847473457,556920.1223576736
182.43397233201785,556867.3120432476
182.4544061893011,557035.301346058
182.47484004658435,557020.255411776
182.4952739038676,557031.3848109499
182.51570776115085,556989.5724143672
182.53614161843413,556933.9631333784
182.55657547571738,556926.3309230534
182.57700933300066,556996.0165405469
182.5974431902839,556953.9033084689
182.61787704756716,556969.440304394
182.6383109048504,556912.1473169907
182.65874476213367,556953.6197458389
182.67917861941694,557010.8974266223
182.6996124767002,556930.5762137297
182.72004633398348,557065.0947552001
182.74048019126673,557009.544576406
182.76091404854998,556930.5610441648
182.78134790583323,556965.3308785153
182.80178176311648,556912.3673336838
182.82221562039976,557009.7204736847
182.84264947768304,557070.6485944832
182.8630833349663,556896.7371359261
182.88351719224954,556903.098105401
182.9039510495328,556940.1772048858
182.92438490681604,557027.2366652811
182.9448187640993,556837.7657391387
182.96525262138258,557075.1499537803
182.98568647866585,556971.3169806353
183.0061203359491,556927.7964839066
183.02655419323236,557048.3900886903
183.0469880505156,556956.800013099
183.06742190779886,557077.9373051578
183.08785576508214,556909.4700632698
183.1082896223654,557044.3727322258
183.12872347964867,556885.9025400681
183.14915733693192,556935.9832352933
183.16959119421517,557079.9580647375
183.19002505149842,556921.0394634932
183.21045890878167,556892.9180805752
183.23089276606495,556958.2863450996
183.2513266233482,556943.6632176604
183.27176048063149,556827.8056952283
183.29219433791474,557065.7298092287
183.312628195198,557016.1681707378
183.33306205248124,556941.0478181205
183.3534959097645,556930.9720890854
183.37392976704777,557031.6969932676
183.39436362433105,557059.0498204866
183.4147974816143,557028.2920475948
183.43523133889755,557083.2289657558
183.4556651961808,557025.2138989572
183.47609905346405,556982.8366560237
183.4965329107473,556917.1017532088
183.51696676803058,556850.4317894157
183.53740062531386,556965.0046593485
183.55783448259712,557006.5557103154
183.57826833988037,557079.4710455056
183.59870219716362,556800.1266375135
183.61913605444687,556971.1467006229
